! [  1] WCX=-8.635627e-03
!! [  1] WCX=-5.449320e+00
!!! [  1] WCX=-5.449320e+00
" [  1] WIQ=-3.650989e-01
1.09.1995 [  1] MCSX=-9.675143e+00
1.09.1996 [  1] MCSX=-9.675143e+00
1.10 [  1] MCSX=-9.675143e+00
1.10.1996 [  1] MCSX=-9.675143e+00
1.20-1.30 [  1] MCSX=-9.675143e+00
1.30 [  1] MCSX=-9.675143e+00
1.30ga [  1] MCS=-4.700480e+00
1.4. [  1] MOSX=-7.682713e+00
1.46 [  1] MCSX=-9.675143e+00
1.49 [  1] MCSX=-8.576530e+00
1.53 [  1] MCSX=-9.675143e+00
1.58 [  1] MCSX=-9.675143e+00
1/12 [  1] MCSX=-8.981996e+00
1/2 [  1] MCSX=-9.675143e+00
1/2-spinniga [  1] NCS=-9.442007e+00
1/3 [  1] MCSX=-8.576530e+00
1/4 [  1] MCSX=-9.675143e+00
1/64 [  1] MCSX=-9.675143e+00
1/9 [  1] MCSX=-9.675143e+00
1/99 [  1] MCSX=-9.675143e+00
10 [  1] MCSX=-4.224104e+00
10% [  1] MCSX=-7.277248e+00
10,2 [  1] MCSX=-9.675143e+00
10- [  1] MCSX=-9.675143e+00
10--15 [  1] MCSX=-9.675143e+00
10-1. [  1] MOSX=-8.375860e+00
10-12 [  1] MCSX=-8.981996e+00
10-13 [  1] MCSX=-8.981996e+00
10-15 [  1] MCSX=-9.675143e+00
10-15% [  1] MCSX=-9.675143e+00
10-15-aastasel [  1] ASA=-8.591929e+00
10-16 [  2] MCSX=-8.981996e+00 MOSX=-8.375860e+00
10-16-10-17 [  1] MCSX=-9.675143e+00
10-17 [  1] MCSX=-9.675143e+00
10-17.30 [  1] MCSX=-9.675143e+00
10-19. [  1] MOSX=-8.375860e+00
10-20 [  1] MCSX=-8.288849e+00
10-24 [  1] MCSX=-9.675143e+00
10-50 [  1] MCSX=-9.675143e+00
10-aastane [  1] ASN=-9.564583e+00
10-aastase [  1] ASG=-6.721519e+00
10-aastaselt [  1] RR=-1.030622e+01
10-aastast [  1] AS1=-8.482187e+00
10-cm [  1] YSX=-8.586346e+00
10-kohalist [  1] AS1=-8.482187e+00
10-köiteline [  1] ASN=-9.564583e+00
10-osaline [  1] ASN=-9.564583e+00
10-sentimeetriseid [  1] AS1=-8.482187e+00
10. [  1] MOSX=-3.909952e+00
10.-12. [  1] MOSX=-8.375860e+00
10...12-kaupa [  1] ST=-9.162305e+00
10...15 [  1] MCSX=-9.675143e+00
10...15-kaupa [  1] ST=-9.162305e+00
10...20 [  1] MCSX=-8.576530e+00
10...25-cm [  1] YSX=-8.586346e+00
10...30 [  1] MCSX=-9.675143e+00
10...35 [  1] MCSX=-9.675143e+00
10.00 [  1] MCSX=-8.576530e+00
10.00-12.00 [  1] MCSX=-9.675143e+00
10.05 [  1] MCSX=-8.576530e+00
10.07.2000 [  1] MCSX=-7.595702e+00
10.25 [  1] MCSX=-9.675143e+00
10.25-10.50 [  1] MCSX=-9.675143e+00
10.30 [  1] MCSX=-9.675143e+00
10.50 [  1] MCSX=-9.675143e+00
100 [  1] MCSX=-5.186507e+00
100% [  1] MCSX=-9.675143e+00
100%ni [  1] YS=-3.044523e+00
100- [  1] MCSX=-9.675143e+00
100-le [  1] MCSA=-5.686975e+00
100. [  1] MOSX=-6.429950e+00
100...170 [  1] MCSX=-9.675143e+00
1000 [  1] MCSX=-7.277248e+00
1000-626 [  1] MCSX=-9.675143e+00
1000-naharised [  1] NCSN=-1.068077e+01
10000 [  1] MCSX=-7.277248e+00
10000-12000 [  1] MCSX=-9.675143e+00
10000-15000 [  1] MCSX=-9.675143e+00
10000. [  1] MOSX=-8.375860e+00
100000 [  1] MCSX=-7.277248e+00
1000000 [  1] MCSX=-9.675143e+00
10001--50000 [  1] MCSX=-9.675143e+00
1003 [  1] MCSX=-8.981996e+00
1006 [  1] MCSX=-8.288849e+00
1007 [  1] MCSX=-8.981996e+00
100aastast [  1] AS1=-8.482187e+00
100lt [  1] MCSA=-5.686975e+00
101 [  1] MCSX=-7.277248e+00
101. [  1] MOSX=-6.766422e+00
102 [  1] MCSX=-6.148782e+00
102. [  1] MOSX=-6.766422e+00
1021 [  1] MCSX=-8.576530e+00
1027 [  1] MCSX=-9.675143e+00
103 [  1] MCSX=-8.065705e+00
103. [  1] MOSX=-6.989566e+00
